,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.4149448236237798,0.3523505292982262,8,0.004613571936448694,0.0015564497631016623,0.018613790772853925,0.09380872871171611,0.41774019779813026,1,lossguide
1,0,0.35142482655738794,0.28376699900507774,9,0.006835962399575419,0.057858932539058286,0.008853845883741333,0.02575900970645377,0.22300310085494815,2,lossguide
2,0,0.3449143712199474,0.3467107866201248,5,0.0064736748817981315,0.001641695992555276,0.01067974582306054,0.003925367322312761,0.09612777228389101,1,lossguide
3,0,0.27295226638233416,0.39630552272867353,6,0.009966747957917155,0.00012637432743226127,0.010071453986157048,0.00029697396466853946,0.0002017461904563495,2,depthwise
4,0,0.5692168322698672,0.5361868659404814,5,0.0017044259323490975,0.00012306825774835884,0.0001274374708091094,0.007718189761033502,0.00015673512888788222,1,depthwise
0,13,0.3302962110510833,0.3937419218753271,9,0.007690925901778935,0.00040259519697206046,2.452121526364162e-05,0.06357384265726997,0.42079987910228317,2,depthwise
1,13,0.3921141204538669,0.3402726837938549,6,0.006190473389818938,0.008617908322335275,0.04284102693642445,1.8740954707952505e-05,0.0003553286751161591,3,depthwise
2,13,0.385009745699878,0.36050323264473844,5,0.005306942618225443,0.36893130902022064,0.0009670771819639874,0.024436232034819667,0.005337118222074342,1,lossguide
3,13,0.32909394956685634,0.2524339133300962,7,0.009371187292950568,3.7026766325049906e-05,0.0008568974263703836,0.000217405215463908,3.632920912270893e-05,5,lossguide
4,13,0.5289448455130527,0.5099894685268986,7,0.002433653838548839,0.00011431944144383899,0.019521511976619447,0.05439067367739252,0.0006358431454076582,2,depthwise
0,25,0.30660672856526816,0.3360412382321937,4,0.00953996169268432,0.00021604493950146445,0.3146163422153434,0.0030142550600420755,1.0076491615111536e-05,2,depthwise
1,25,0.375003454310711,0.3882763342306835,7,0.006354415168132311,2.161506854567702e-05,0.00010095980498281746,0.0012442286755917741,0.04057008420773042,3,lossguide
2,25,0.538879732681609,0.45344111126865166,8,0.0020228901110180913,0.11377130193851948,2.0359966412244425e-05,0.22986352059862444,1.8458792123345888e-05,1,depthwise
3,25,0.36871728327308056,0.31238205747904535,4,0.007698745552395967,5.064480325542652e-05,0.0002129338273828119,9.01818183507785e-05,0.342562387645704,4,lossguide
4,25,0.45555313762339755,0.4534140382306416,5,0.004354941742009589,0.1990491477066452,0.0005198461608071876,1.6233688427791334e-05,0.006801342284560002,3,lossguide
0,42,0.3057785992344106,0.35338067337571777,9,0.008795475150582032,0.006562385272506797,1.480009983247096e-05,1.591087317594807e-05,6.617074264341948e-05,3,lossguide
1,42,0.32656829384674474,0.4460316117577555,5,0.008964729613617665,0.0007681091035308383,1.8764665064805435e-05,0.12564716862265005,0.015796878268790258,4,depthwise
2,42,0.4862399168543575,0.33492316929313326,5,0.00312625978186025,0.06175097677760882,0.017483300164102638,0.007110494490136646,0.0009830200366417064,1,lossguide
3,42,0.48055992451067675,0.505694423606541,3,0.004072679271462984,0.00012056213817546588,1.0251688386740068e-05,0.0004585310279830828,0.0013552973939093445,1,depthwise
4,42,0.39777993695748526,0.40641313547878954,3,0.0076416716420028745,0.00010224369957816989,0.060953267390946975,1.4725087709586224e-05,0.000377382099283282,2,depthwise
0,67,0.43595438713033186,0.5177844037698605,7,0.005177615688478518,4.81789634810373e-05,0.00017510385529481457,0.0002845135564114367,1.0033222354519734e-05,5,lossguide
1,67,0.3841723322780648,0.30136186919762764,8,0.005814742456459288,0.0574053299364732,0.00637713087833768,0.0003460904903422377,0.2946122201362449,2,lossguide
2,67,0.5219162871396085,0.47864059040626356,4,0.002760991416461522,0.0030200090992223674,0.007262271903557356,5.4616873089345084e-05,0.007516497914901797,1,lossguide
3,67,0.3206711926554936,0.44693691711722816,7,0.006723908494683461,0.002329842458201269,0.03665953510962496,0.000466742753109753,1.3019089419386484e-05,1,depthwise
4,67,0.39052379853461017,0.3291915341075614,6,0.006579432720681841,0.14414797567206158,5.402100177244359e-05,0.0006832284449125465,8.575152481885524e-05,4,depthwise
