,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.428895781202273,0.350766006436526,5,0.004829031776013089,0.0735203393599472,6.158721745435489e-05,2.581925676269513e-05,3.455411019531252e-05,2,lossguide
1,0,0.4478340334541069,0.2787597910177341,3,0.005774110242617167,0.6406817199009769,1.9338060973652854e-05,0.001584265997906774,0.00011850842627481036,1,depthwise
2,0,0.4109303346298706,0.3777520892388019,4,0.005499360232453853,1.9079010633942018e-05,1.8410457386704745e-05,0.013789412701812408,5.361781811486693e-05,2,depthwise
3,0,0.3725208308747735,0.3787274547123431,9,0.00805556711163327,3.171163880172929e-05,0.0037165649494543276,0.0005325984458689201,0.0029178744794751306,6,lossguide
4,0,0.30320196150773904,0.5442838328212228,6,0.007545638675778081,0.008642483854236131,4.499619133302748e-05,0.10188982070734116,1.5798207266979242e-05,1,depthwise
0,13,0.3747025557425586,0.38191916068406595,4,0.007255149949746686,0.001683838300448402,0.5078101191653052,1.8464121034520966e-05,0.007432042245514993,2,depthwise
1,13,0.5267292884578161,0.3467377336735633,6,0.002220162429394749,0.02288310181179477,3.620211822485875e-05,0.026118026147239654,0.020095562582688707,1,depthwise
2,13,0.4358318367955133,0.3527334345530628,8,0.003962614841151682,0.15300114415254482,0.0056294314154559915,0.0001388531361109026,0.002799666719176922,1,lossguide
3,13,0.3828339563650219,0.24749097569698222,6,0.007232174792838218,0.04819678380993511,0.0034228052397618568,0.0013425064611328047,0.07445895674604053,5,depthwise
4,13,0.5869029186146918,0.5070703853057379,4,0.0015159537555530318,0.11877957099737058,0.0002305258456448729,0.0012305654093610655,0.014163522403517584,1,depthwise
0,25,0.316423408866557,0.3329189025354738,5,0.009649235180552516,0.006516979810436493,0.03328338841616192,0.25010815471391284,0.0002462444161315976,4,depthwise
1,25,0.2555631945363832,0.3506064143077696,7,0.009182680941553206,0.0007241611378896997,0.08590887135072707,0.02350959819396731,0.0029556675675003648,1,depthwise
2,25,0.5200047650146419,0.4465872056507292,8,0.0024864297273865196,0.7250106456344841,0.5090815013776864,0.0003918092938124843,0.003677017441784276,1,lossguide
3,25,0.35583004100912763,0.29657844898922897,8,0.0071043723682861675,0.003295893181279358,0.009828258143469494,0.0061902293378918,0.06101453183611238,3,depthwise
4,25,0.4278960178653477,0.43800055185568987,4,0.005343074271485753,0.00015597177279958453,0.00039164064410268385,3.725308019837577e-05,0.022550315363343162,3,lossguide
0,42,0.30460818560353264,0.3471711671063693,9,0.00828967726029496,0.00037466543075260106,0.028668346628487468,0.007225916799794607,0.11312220467855899,2,lossguide
1,42,0.3649517236687539,0.4382388051317045,9,0.0076112488646348,4.060781255362475e-05,0.26948796133924097,0.225953088499231,0.09405622066673225,4,depthwise
2,42,0.2694018034661946,0.3195669100498879,7,0.009855838203174485,0.1037084584549466,0.007471197069965389,0.15695017956637283,0.0009479275552057428,2,lossguide
3,42,0.5582872151397615,0.49526351905253085,5,0.002051576980177864,0.02844369557481744,0.4376374642373039,0.11895231301457136,1.2579895027576102e-05,2,lossguide
4,42,0.44791475514887336,0.3726995430178471,2,0.008592688329010816,0.0004704764835368075,0.05345556884819133,0.0018126465306791894,0.00011552791451336841,4,depthwise
0,67,0.3582728766486015,0.4813131342378259,4,0.008071676006677051,0.05758599123186765,0.00011791108104200799,0.0002957680147024481,0.0017995456976174007,5,lossguide
1,67,0.39948868149170214,0.2910520962566891,7,0.0054393342888747935,0.0004110952916498465,0.3445681969899446,8.16903391903997e-05,0.009294068946935486,2,depthwise
2,67,0.3596584573528244,0.4776159983977481,4,0.009599305082310258,0.0006235543397799518,2.4824676096768816e-05,0.004211033084807092,0.000208599511783678,10,lossguide
3,67,0.3208063968135531,0.4518742663948862,9,0.009053746867866076,0.0057127470281668705,0.03344370231884313,0.002919047694676735,0.00017990301696506995,4,depthwise
4,67,0.37898767415306084,0.30820922688460395,5,0.00679266992301954,1.0131727163279453e-05,0.06528157849178107,0.02043819038046667,0.10655687888089452,3,depthwise
