,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.2813513948549172,0.34342248411932147,6,0.008229739675227237,0.13601066906454037,1.8089976420501303e-05,3.241783570904958e-05,1.7363557868391703e-05,1,depthwise
1,0,0.31576489005977515,0.32664673294998214,4,0.009382237958141545,0.0019653613584191838,0.01157215064774964,0.20554144554906043,0.19189281257206456,2,depthwise
2,0,0.23999512984896842,0.34525657576214586,6,0.009852961706771546,0.5277911928350042,0.048403769050677455,0.001993103443544603,0.004500681269911865,1,depthwise
3,0,0.2897436907683525,0.41332193731176414,8,0.009968073322086895,6.933855319253912e-05,3.520538925484459e-05,0.0002164706278739103,0.00035767658808146696,3,depthwise
4,0,0.3592797840582378,0.5180375152097947,8,0.006214326545733978,0.0005887021071725221,0.004192663284824983,0.1082036723723921,0.4865052851376841,1,depthwise
0,13,0.281621462993784,0.38573897402374985,7,0.009326728429678334,0.3908561169136232,0.007493408267661672,0.5762205281915246,0.0021495362783100517,2,depthwise
1,13,0.2731017887785594,0.3375198908910527,6,0.00834649402236596,0.0007448877918343586,0.0011838269074168348,0.005090141960920496,0.09433551735534323,1,lossguide
2,13,0.2624695068679672,0.3761414935641346,5,0.00956902833948092,0.0824699289162614,0.2119193215230394,0.14288157278759575,4.7045520396813696e-05,1,depthwise
3,13,0.29005979281963024,0.29491196796611074,7,0.00785267734058811,0.0013758932397770825,0.05245100377682163,0.021339396953025544,0.06009549198514399,1,depthwise
4,13,0.38693239931675233,0.5012069779189945,4,0.005925994770987238,0.15193703506749173,0.0003750555109771187,0.0017994171788299333,0.00046546849072317994,1,depthwise
0,25,0.2903350181534906,0.3688642869914306,6,0.008093880585898699,9.456915095021618e-05,0.018970459069158552,0.9634347650157427,0.0028992395801604085,1,lossguide
1,25,0.3468313385298181,0.42080452970483084,5,0.006740891498281819,0.01704778662620657,0.08172198049259231,0.49507288765905655,0.0013020050930798363,1,lossguide
2,25,0.31294369326230875,0.43031069697371266,7,0.007000775757048532,0.00034479679013839587,1.1848140194388504e-05,0.01773328369716362,0.02595321555584117,1,lossguide
3,25,0.2872885147352604,0.3518309312538669,8,0.009815238824180308,0.2919256449349495,0.0006570494686907933,0.0022042026653064546,0.017777836549032925,3,lossguide
4,25,0.289603533744206,0.45285365176687137,6,0.009983045417842715,0.0023010213186093384,0.00019385314142853646,0.014706247373209488,0.0006708475462701885,3,depthwise
0,42,0.2847172924626654,0.37180482354778766,9,0.008948751808372804,2.082645748990021e-05,0.9500625938431081,0.8186613516190934,1.5407620467331095e-05,1,lossguide
1,42,0.3068833348981095,0.45171921645953533,5,0.007709077956136483,0.027004458665655096,0.0005483052748949176,4.500701261865118e-05,0.006009549222627517,1,lossguide
2,42,0.28882407407011756,0.32317036940883026,6,0.008191661017706783,0.0012008454339438417,0.013267593046618172,0.021857089871142422,0.003104242224754336,1,lossguide
3,42,0.4041941608935775,0.4867738006579108,8,0.005099107450230623,0.4714098857813557,0.0001242616460082655,0.9511458736187746,0.0007965475422766678,2,lossguide
4,42,0.36713720210440065,0.4234229311743537,3,0.008753371039829073,0.018489945578635834,2.9880267683850318e-05,0.000251916675091219,1.3997756960581073e-05,1,lossguide
0,67,0.3181044966609102,0.517435958623926,4,0.008199157231151326,0.022328783634300124,1.0658559373387217e-05,0.0004797233805429586,0.007941571355772547,1,depthwise
1,67,0.2552438126357036,0.30314237806770067,9,0.00977002329363442,0.014734061866212352,2.4275940755440566e-05,0.00031172772295171654,0.4354428533102767,1,depthwise
2,67,0.3348844758130022,0.4854043845127527,5,0.006812520916488795,0.07028088337359244,0.004376077395833016,0.0022081475131158984,0.00013727363222028105,1,lossguide
3,67,0.2622121205920218,0.43940931222080687,7,0.008682633573327842,0.0031577548425752735,0.015218124684515173,0.08610178830102373,0.0011916963919158681,1,lossguide
4,67,0.3108428758153361,0.35590533557131426,9,0.009770968009930131,0.01695542836914991,1.0711843049980587e-05,0.0031660757790406753,0.03289909357771687,4,depthwise
