,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,67,0.3181044966609102,0.517435958623926,4,0.008199157231151326,0.022328783634300124,1.0658559373387217e-05,0.0004797233805429586,0.007941571355772547,1,depthwise
1,67,0.2552438126357036,0.30314237806770067,9,0.00977002329363442,0.014734061866212352,2.4275940755440566e-05,0.00031172772295171654,0.4354428533102767,1,depthwise
2,67,0.3348844758130022,0.4854043845127527,5,0.006812520916488795,0.07028088337359244,0.004376077395833016,0.0022081475131158984,0.00013727363222028105,1,lossguide
3,67,0.2622121205920218,0.43940931222080687,7,0.008682633573327842,0.0031577548425752735,0.015218124684515173,0.08610178830102373,0.0011916963919158681,1,lossguide
4,67,0.3108428758153361,0.35590533557131426,9,0.009770968009930131,0.01695542836914991,1.0711843049980587e-05,0.0031660757790406753,0.03289909357771687,4,depthwise
