,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,25,0.2903350181534906,0.3688642869914306,6,0.008093880585898699,9.456915095021618e-05,0.018970459069158552,0.9634347650157427,0.0028992395801604085,1,lossguide
1,25,0.3468313385298181,0.42080452970483084,5,0.006740891498281819,0.01704778662620657,0.08172198049259231,0.49507288765905655,0.0013020050930798363,1,lossguide
2,25,0.31294369326230875,0.43031069697371266,7,0.007000775757048532,0.00034479679013839587,1.1848140194388504e-05,0.01773328369716362,0.02595321555584117,1,lossguide
3,25,0.2872885147352604,0.3518309312538669,8,0.009815238824180308,0.2919256449349495,0.0006570494686907933,0.0022042026653064546,0.017777836549032925,3,lossguide
4,25,0.289603533744206,0.45285365176687137,6,0.009983045417842715,0.0023010213186093384,0.00019385314142853646,0.014706247373209488,0.0006708475462701885,3,depthwise
