,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,13,0.281621462993784,0.38573897402374985,7,0.009326728429678334,0.3908561169136232,0.007493408267661672,0.5762205281915246,0.0021495362783100517,2,depthwise
1,13,0.2731017887785594,0.3375198908910527,6,0.00834649402236596,0.0007448877918343586,0.0011838269074168348,0.005090141960920496,0.09433551735534323,1,lossguide
2,13,0.2624695068679672,0.3761414935641346,5,0.00956902833948092,0.0824699289162614,0.2119193215230394,0.14288157278759575,4.7045520396813696e-05,1,depthwise
3,13,0.29005979281963024,0.29491196796611074,7,0.00785267734058811,0.0013758932397770825,0.05245100377682163,0.021339396953025544,0.06009549198514399,1,depthwise
4,13,0.38693239931675233,0.5012069779189945,4,0.005925994770987238,0.15193703506749173,0.0003750555109771187,0.0017994171788299333,0.00046546849072317994,1,depthwise
