,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,42,0.2847172924626654,0.37180482354778766,9,0.008948751808372804,2.082645748990021e-05,0.9500625938431081,0.8186613516190934,1.5407620467331095e-05,1,lossguide
1,42,0.3068833348981095,0.45171921645953533,5,0.007709077956136483,0.027004458665655096,0.0005483052748949176,4.500701261865118e-05,0.006009549222627517,1,lossguide
2,42,0.28882407407011756,0.32317036940883026,6,0.008191661017706783,0.0012008454339438417,0.013267593046618172,0.021857089871142422,0.003104242224754336,1,lossguide
3,42,0.4041941608935775,0.4867738006579108,8,0.005099107450230623,0.4714098857813557,0.0001242616460082655,0.9511458736187746,0.0007965475422766678,2,lossguide
4,42,0.36713720210440065,0.4234229311743537,3,0.008753371039829073,0.018489945578635834,2.9880267683850318e-05,0.000251916675091219,1.3997756960581073e-05,1,lossguide
