,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.2813513948549172,0.34342248411932147,6,0.008229739675227237,0.13601066906454037,1.8089976420501303e-05,3.241783570904958e-05,1.7363557868391703e-05,1,depthwise
1,0,0.31576489005977515,0.32664673294998214,4,0.009382237958141545,0.0019653613584191838,0.01157215064774964,0.20554144554906043,0.19189281257206456,2,depthwise
2,0,0.23999512984896842,0.34525657576214586,6,0.009852961706771546,0.5277911928350042,0.048403769050677455,0.001993103443544603,0.004500681269911865,1,depthwise
3,0,0.2897436907683525,0.41332193731176414,8,0.009968073322086895,6.933855319253912e-05,3.520538925484459e-05,0.0002164706278739103,0.00035767658808146696,3,depthwise
4,0,0.3592797840582378,0.5180375152097947,8,0.006214326545733978,0.0005887021071725221,0.004192663284824983,0.1082036723723921,0.4865052851376841,1,depthwise
